[2026-09-24 | 20:39:26] INFO     [fetch] ========== Scraper Started ==========                                  (fetch.py:49)
[2026-09-24 | 20:39:26] INFO     [fetch] Fetching base M3U8                                                     (fetch.py:51)
[2026-09-24 | 20:40:59] INFO     [fetch] ========== Scraper Started ==========                                  (fetch.py:49)
[2026-09-24 | 20:40:59] INFO     [fetch] Fetching base M3U8                                                     (fetch.py:51)
[2026-09-24 | 20:44:40] INFO     [fetch] ========== Scraper Started ==========                                  (fetch.py:49)
[2026-09-24 | 20:44:40] INFO     [fetch] Fetching base M3U8                                                     (fetch.py:51)
[2026-09-24 | 20:44:44] INFO     [scrapers.sportspass] Loaded 0 event(s) from cache                                           (sportspass.py:187)
[2026-09-24 | 20:44:44] INFO     [scrapers.sportspass] Scraping from "https://streamseast.eu"                                 (sportspass.py:189)
[2026-09-24 | 20:44:44] INFO     [scrapers.watchfooty] Loaded 0 event(s) from cache                                           (watchfooty.py:156)
[2026-09-24 | 20:44:44] INFO     [scrapers.watchfooty] Scraping from "https://www.watchfooty.st"                              (watchfooty.py:158)
[2026-09-24 | 20:44:44] INFO     [scrapers.fawa] Loaded 0 event(s) from cache                                           (fawa.py:92)
[2026-09-24 | 20:44:44] INFO     [scrapers.fawa] Scraping from "http://www.fawanews.sc/"                                (fawa.py:94)
[2026-09-24 | 20:44:44] INFO     [scrapers.flyembed] Loaded 0 event(s) from cache                                           (flyembed.py:156)
[2026-09-24 | 20:44:44] INFO     [scrapers.flyembed] Scraping from "https://flyembed.xyz"                                   (flyembed.py:158)
[2026-09-24 | 20:44:44] INFO     [scrapers.flyembed] Refreshing API cache                                                   (flyembed.py:93)
[2026-09-24 | 20:44:44] INFO     [scrapers.futbolx] Loaded 0 event(s) from cache                                           (futbolx.py:116)
[2026-09-24 | 20:44:44] INFO     [scrapers.futbolx] Scraping from "https://www.futbol-x.top"                               (futbolx.py:118)
[2026-09-24 | 20:44:44] INFO     [scrapers.istreameast] Loaded 0 event(s) from cache                                           (istreameast.py:112)
[2026-09-24 | 20:44:44] INFO     [scrapers.istreameast] Scraping from "https://streameast.cool"                                (istreameast.py:114)
[2026-09-24 | 20:44:44] INFO     [scrapers.mainportal] Loaded 0 event(s) from cache                                           (mainportal.py:157)
[2026-09-24 | 20:44:44] INFO     [scrapers.mainportal] Scraping from "https://mainportal66.com"                               (mainportal.py:159)
[2026-09-24 | 20:44:44] INFO     [scrapers.reedstreams] Loaded 0 event(s) from cache                                           (reedstreams.py:140)
[2026-09-24 | 20:44:44] INFO     [scrapers.reedstreams] Scraping from "https://reedstreams.link"                               (reedstreams.py:142)
[2026-09-24 | 20:44:44] INFO     [scrapers.reedstreams] Refreshing API cache                                                   (reedstreams.py:60)
[2026-09-24 | 20:44:44] INFO     [scrapers.streamcenter] Scraping from "https://streamecenter.live"                             (streamcenter.py:135)
[2026-09-24 | 20:44:44] INFO     [scrapers.streamfree] Loaded 0 event(s) from cache                                           (streamfree.py:185)
[2026-09-24 | 20:44:44] INFO     [scrapers.streamfree] Scraping from "https://streamfree.top"                                 (streamfree.py:187)
[2026-09-24 | 20:44:44] INFO     [scrapers.streamfree] Refreshing API cache                                                   (streamfree.py:122)
[2026-09-24 | 20:44:44] INFO     [scrapers.streamgate] Loaded 0 event(s) from cache                                           (streamgate.py:195)
